,선수,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR+,생일
50,김현수09두LF,133,572,482,97,172,31,6,23,284,104,6,6,80,4,5,59,7,0,6,.357,.448,.589,1.037,.452,169.5,6.88,1988-01-12
51,정근우09S2B,127,565,480,98,168,29,4,9,232,59,53,13,67,11,1,55,8,2,5,.350,.437,.483,.920,.417,145.9,6.86,1982-10-02
52,홍현우92해2B,126,520,420,87,140,25,3,17,222,97,6,7,82,7,0,82,8,8,3,.333,.447,.529,.976,.436,166.1,6.85,1972-09-28
53,양준혁93삼1B,106,456,381,82,130,27,1,23,228,90,4,9,61,8,6,40,7,0,6,.341,.436,.598,1.035,.468,212.0,6.85,1969-05-26
54,이승엽97삼1B,126,577,517,96,170,37,3,32,309,114,5,2,49,6,4,79,10,1,4,.329,.391,.598,.988,.432,172.3,6.78,1976-08-18
55,박재홍00현CF,132,572,489,101,151,31,5,32,288,115,30,14,64,7,5,77,15,0,12,.309,.388,.589,.977,.415,150.7,6.75,1973-09-07
56,이승엽98삼1B,126,568,477,100,146,32,2,38,296,102,0,2,78,5,10,97,4,1,7,.306,.404,.621,1.024,.434,175.9,6.73,1976-08-18
57,양준혁07삼DH,123,544,442,78,149,34,0,22,249,72,20,8,91,7,15,44,12,1,2,.337,.456,.563,1.019,.455,187.9,6.72,1969-05-26
58,김현수15두LF,141,630,512,103,167,26,0,28,277,121,11,5,101,8,12,63,13,0,9,.326,.438,.541,.979,.427,163.2,6.70,1988-01-12
59,양준혁95삼LF,125,527,438,81,137,34,1,20,233,84,8,2,77,6,8,50,7,0,6,.313,.418,.532,.949,.422,174.5,6.68,1969-05-26
60,최형우17KLF,142,629,514,98,176,36,3,26,296,120,0,1,96,11,8,82,15,0,8,.342,.450,.576,1.026,.442,163.5,6.66,1983-12-16
61,박재홍97현CF,96,403,331,77,108,16,0,27,205,69,22,14,66,4,10,59,5,0,2,.326,.442,.619,1.061,.458,193.7,6.65,1973-09-07
62,호세99롯RF,132,553,462,93,151,29,3,36,294,122,12,3,79,5,7,119,8,0,7,.327,.425,.636,1.061,.443,164.4,6.64,1965-05-02
63,김기태92쌍1B,123,525,398,86,120,28,3,31,247,96,5,7,114,8,18,84,11,0,5,.302,.461,.621,1.082,.463,183.7,6.63,1969-05-23
64,박병호18넥1B,113,488,400,88,138,20,0,43,287,112,0,1,68,17,10,114,9,0,3,.345,.457,.718,1.175,.478,190.9,6.62,1986-07-10
65,박정태92롯2B,124,529,445,91,149,43,3,14,240,79,7,7,69,5,2,42,12,3,7,.335,.424,.539,.963,.429,160.2,6.60,1969-01-27
66,최정17S3B,130,527,430,89,136,18,1,46,294,113,1,5,70,19,10,107,8,0,8,.316,.427,.684,1.111,.456,167.6,6.56,1987-02-28
67,이만수85삼C,103,423,357,63,115,19,2,22,204,87,7,9,42,14,6,37,13,1,9,.322,.405,.571,.977,.434,176.4,6.56,1958-09-19
68,홍현우95해3B,125,531,465,63,142,24,1,16,216,65,34,5,58,4,7,65,1,1,3,.305,.385,.465,.849,.383,148.2,6.53,1972-09-28
69,이대호06롯1B,122,499,443,71,149,26,0,26,253,88,0,1,39,16,5,55,11,0,1,.336,.409,.571,.980,.445,192.4,6.52,1982-06-21
70,박병호12넥1B,133,560,469,76,136,34,0,31,263,105,20,9,73,11,3,111,6,0,7,.290,.393,.561,.954,.430,174.5,6.51,1986-07-10
71,나바로15삼2B,140,643,534,126,153,19,1,48,318,137,22,6,93,6,8,72,10,1,9,.287,.393,.596,.988,.416,143.1,6.45,1987-10-31
72,송지만00한RF,120,530,468,93,158,33,2,32,291,90,20,7,52,7,2,72,10,0,3,.338,.409,.622,1.031,.443,166.6,6.44,1973-03-02
73,양의지18두C,133,503,439,84,157,29,1,23,257,77,6,0,45,13,6,40,13,0,6,.358,.427,.585,1.013,.431,160.5,6.42,1987-06-05
74,심재학01두RF,117,469,369,83,127,20,1,24,221,88,7,1,86,7,8,50,6,4,3,.344,.473,.599,1.072,.466,179.5,6.41,1972-10-18
75,페르난데스02S3B,132,556,499,81,140,24,0,45,299,107,4,4,49,7,2,114,8,0,1,.281,.353,.599,.952,.404,153.3,6.39,1974-11-02
76,우즈98O1B,126,521,452,77,138,14,1,42,280,103,1,2,65,2,5,115,13,0,2,.305,.394,.619,1.013,.434,181.2,6.38,1969-08-19
77,양준혁04삼1B,133,584,479,95,151,30,0,28,265,103,5,2,89,13,8,53,10,1,2,.315,.434,.553,.987,.439,167.5,6.37,1969-05-26
78,이정훈91빙RF,111,433,379,81,132,21,12,17,228,55,18,6,43,4,2,33,6,4,3,.348,.417,.602,1.019,.451,183.2,6.36,1963-08-28
79,데이비스05한CF,118,507,431,90,139,24,0,24,235,86,7,3,65,5,7,76,8,0,6,.323,.412,.545,.958,.424,160.4,6.35,1969-10-03
80,쿨바98현3B,115,471,410,68,130,27,1,26,237,97,2,3,51,5,3,102,5,0,5,.317,.395,.578,.973,.421,169.8,6.35,1966-06-13
81,이만수87삼C,85,357,299,56,103,14,1,18,173,76,6,2,47,4,4,23,16,0,7,.344,.431,.579,1.010,.458,191.5,6.34,1958-09-19
82,테임즈14N1B,125,514,443,95,152,30,6,37,305,121,11,2,58,7,5,99,6,0,6,.343,.422,.688,1.111,.464,168.3,6.32,1986-11-10
83,홍문종84롯CF,100,415,360,62,122,25,7,11,194,53,36,20,43,7,12,36,2,1,4,.339,.416,.539,.954,.426,177.7,6.32,1954-11-14
84,김성래93삼1B,124,521,436,64,131,18,2,28,237,91,2,1,69,5,0,72,17,2,9,.300,.395,.544,.939,.428,183.0,6.30,1961-03-23
85,손아섭14롯RF,122,570,483,105,175,25,3,18,260,80,10,3,80,5,7,78,7,0,2,.362,.456,.538,.994,.443,154.6,6.26,1988-03-18
86,이만수84삼C,89,342,300,45,102,17,1,23,190,80,3,8,26,12,3,37,10,0,4,.340,.409,.633,1.043,.467,204.6,6.25,1958-09-19
87,브리또01SSS,122,510,422,59,135,27,0,22,228,80,7,3,57,24,7,53,12,2,5,.320,.425,.540,.966,.426,151.0,6.23,1972-05-28
88,박병호14넥1B,128,571,459,126,139,16,2,52,315,124,8,3,96,12,3,142,13,0,4,.303,.433,.686,1.119,.466,162.9,6.23,1986-07-10
89,나바로14삼2B,125,602,500,118,154,27,1,31,276,98,25,9,96,1,1,71,7,0,5,.308,.417,.552,.969,.424,139.2,6.23,1987-10-31
90,이순철88해CF,108,477,406,81,127,26,2,13,196,52,58,20,52,12,2,37,7,4,3,.313,.404,.483,.887,.404,153.0,6.22,1961-04-18
91,이순철92해CF,122,566,492,101,152,22,3,21,243,76,44,16,60,7,1,63,14,3,4,.309,.389,.494,.883,.397,140.3,6.22,1961-04-18
92,양준혁03삼LF,133,551,490,90,161,37,2,33,301,92,2,5,49,6,2,49,13,4,2,.329,.395,.614,1.009,.435,166.3,6.21,1969-05-26
93,양준혁98삼DH,126,552,456,80,156,30,1,27,269,89,15,14,87,5,26,69,14,0,3,.342,.450,.590,1.040,.442,181.7,6.20,1969-05-26
94,홍성흔04두C,133,552,501,62,165,27,2,14,238,86,10,7,36,10,2,70,8,3,2,.329,.384,.475,.859,.391,135.7,6.17,1977-02-28
95,장종훈95한1B,126,498,420,77,137,25,4,22,236,78,8,9,68,6,16,63,10,0,4,.326,.424,.562,.986,.431,183.1,6.14,1968-04-10
96,이종범93해SS,126,525,475,85,133,16,4,16,205,53,73,19,32,6,2,35,11,8,4,.280,.331,.432,.762,.350,127.4,6.14,1970-08-15
97,김태균08한1B,115,484,410,81,133,27,1,31,255,92,2,0,64,5,4,67,8,0,5,.324,.417,.622,1.039,.461,183.4,6.14,1982-05-29
98,김동주02두3B,120,487,415,63,132,21,0,26,231,79,1,1,52,13,2,61,8,0,7,.318,.405,.557,.961,.415,162.7,6.13,1976-02-03
99,우즈00두1B,127,565,479,91,151,22,0,39,290,111,4,1,77,6,5,132,13,0,3,.315,.414,.605,1.020,.437,166.6,6.12,1969-08-19
100,이만수91삼C,118,446,378,51,120,18,0,17,189,74,6,2,56,8,12,27,7,0,3,.317,.414,.500,.914,.411,154.6,6.08,1958-09-19
101,유지현98LSS,126,564,476,94,132,36,1,12,206,61,40,7,71,6,4,78,3,9,2,.277,.377,.433,.809,.358,126.3,6.08,1971-05-25
102,김기태94쌍1B,108,454,376,70,119,20,4,25,222,79,9,10,74,2,13,70,10,0,2,.316,.430,.590,1.020,.449,191.2,6.07,1969-05-23
103,나성범14NCF,123,536,477,88,157,28,5,30,285,101,14,5,42,15,2,128,4,1,1,.329,.400,.597,.998,.429,146.2,6.06,1989-10-03
104,이만수83삼C,98,410,357,53,105,12,0,27,198,74,0,3,41,8,2,51,11,2,2,.294,.378,.555,.932,.418,170.3,6.05,1958-09-19
105,서튼05현LF,119,521,424,76,124,18,2,35,251,102,0,2,86,4,8,101,3,0,7,.292,.411,.592,1.003,.435,168.8,6.05,1970-05-14
106,데이비스01한CF,130,564,496,95,166,21,0,30,277,96,15,9,60,2,9,74,15,0,6,.335,.404,.558,.963,.421,145.8,6.04,1969-10-03
107,손아섭13롯RF,128,568,498,83,172,23,4,11,236,69,36,7,64,3,6,88,9,0,3,.345,.421,.474,.895,.415,148.9,6.04,1988-03-18
108,장성호02K1B,133,586,481,82,165,29,0,19,251,95,7,3,86,9,14,53,15,2,8,.343,.445,.522,.967,.419,163.1,6.02,1977-10-18
109,김태균03한1B,133,573,479,67,153,24,2,31,274,95,3,2,79,9,6,106,13,4,2,.319,.424,.572,.996,.432,165.1,6.00,1982-05-29
110,김재현94LRF,125,535,463,81,134,26,3,21,229,80,21,4,55,12,2,86,7,0,5,.289,.376,.495,.870,.395,155.1,5.97,1975-10-02
111,테임즈16N1B,123,529,436,118,140,30,3,40,296,121,13,4,74,12,6,103,2,0,7,.321,.427,.679,1.106,.463,170.5,5.97,1986-11-10
112,조인성10LC,133,511,457,69,145,24,1,28,255,107,2,0,41,3,8,83,19,5,5,.317,.374,.558,.932,.401,140.0,5.96,1975-05-25
113,장효조85삼LF,107,422,346,66,129,24,1,11,188,65,17,8,57,4,6,23,6,8,6,.373,.460,.543,1.003,.446,184.5,5.93,1956-07-06
114,홍현우99해2B,129,561,487,99,146,26,0,34,274,111,31,6,64,3,1,104,10,3,4,.300,.382,.563,.944,.401,136.3,5.91,1972-09-28
115,백인천82MLF,72,298,250,55,103,23,1,19,185,64,11,3,42,3,10,17,5,0,3,.412,.497,.740,1.237,.528,227.0,5.88,1943-11-27
116,유한준15넥RF,139,598,520,103,188,42,1,23,301,116,3,3,67,2,2,71,13,1,8,.362,.431,.579,1.009,.440,157.6,5.87,1981-07-01
117,김상현09LK3B,121,496,448,77,141,30,2,36,283,127,7,5,41,6,1,103,11,0,1,.315,.379,.632,1.011,.431,155.4,5.87,1980-11-12
118,김성한89해1B,118,513,414,93,116,18,0,26,212,84,32,8,84,9,11,62,7,0,6,.280,.407,.512,.920,.421,164.4,5.86,1958-05-18
119,박용택12LCF,127,556,499,82,152,34,3,11,225,76,30,8,42,7,1,66,9,1,7,.305,.362,.451,.813,.377,136.9,5.86,1979-04-21
120,박석민13삼3B,117,474,396,61,126,24,0,18,204,76,4,2,54,21,1,73,13,0,2,.318,.425,.515,.940,.432,162.0,5.85,1985-06-22
121,조성환08롯2B,123,525,462,79,151,27,3,10,214,81,31,3,37,11,0,81,6,4,11,.327,.382,.463,.845,.387,136.6,5.82,1976-12-23
122,최정16S3B,141,606,500,106,144,24,1,40,290,106,1,2,77,23,2,126,6,0,6,.288,.403,.580,.983,.425,140.7,5.82,1987-02-28
123,박용택09LLF,111,506,452,91,168,31,5,18,263,74,22,3,36,6,2,63,15,3,9,.372,.418,.582,.999,.433,156.5,5.79,1979-04-21
124,데이비스99한CF,130,578,525,93,172,31,3,30,299,106,35,18,41,5,1,93,14,2,5,.328,.379,.570,.948,.404,138.0,5.79,1969-10-03
125,나성범17NRF,125,561,498,103,173,42,2,24,291,99,17,7,48,12,10,116,8,0,3,.347,.415,.584,1.000,.428,154.3,5.78,1989-10-03
126,홍현우97해3B,126,534,436,73,118,29,0,22,213,79,20,9,86,7,11,80,19,0,5,.271,.395,.489,.884,.391,145.7,5.78,1972-09-28
127,전준호95롯CF,124,540,458,93,141,13,12,1,181,42,69,25,62,6,3,54,5,8,6,.308,.393,.395,.788,.359,131.4,5.78,1969-02-15
128,김동주09두3B,105,426,354,63,125,28,0,19,210,86,3,1,61,8,10,55,17,0,3,.353,.455,.593,1.049,.454,170.9,5.76,1976-02-03
129,최정11S3B,113,488,403,64,125,25,1,20,212,75,15,5,46,20,1,72,8,13,6,.310,.402,.526,.928,.411,152.0,5.76,1987-02-28
130,김재환16두LF,134,568,492,107,160,32,3,37,309,124,8,2,71,0,3,107,9,0,5,.325,.407,.628,1.035,.442,162.7,5.75,1988-09-22
131,손아섭17롯RF,144,667,576,113,193,35,4,20,296,80,25,8,83,4,8,96,7,1,3,.335,.420,.514,.934,.410,140.0,5.73,1988-03-18
132,이병규04LCF,129,562,496,95,160,26,2,14,232,64,8,4,50,12,1,72,14,3,1,.323,.397,.468,.865,.396,139.4,5.72,1974-10-25
133,김성래88삼2B,96,386,314,54,110,18,2,10,162,54,7,4,58,7,2,43,6,5,2,.350,.459,.516,.975,.442,178.6,5.71,1961-03-23
134,김성래87삼2B,99,385,334,59,111,11,1,22,190,70,2,5,45,3,3,38,8,0,3,.332,.413,.569,.982,.450,185.5,5.71,1961-03-23
135,이호성91해LF,121,520,434,98,125,12,7,21,214,84,25,7,67,12,1,65,6,2,5,.288,.394,.493,.887,.404,150.7,5.71,1967-07-17
136,김응국96롯LF,126,518,446,62,143,22,6,9,204,64,26,7,65,2,6,61,11,1,4,.321,.406,.457,.864,.394,152.8,5.69,1966-01-14
137,전준우18롯LF,144,614,556,118,190,36,2,33,329,90,7,7,48,7,1,82,12,1,2,.342,.400,.592,.991,.421,146.3,5.67,1986-02-25
138,로하스18KCF,144,645,564,114,172,30,1,43,333,114,18,13,71,7,4,142,10,1,2,.305,.388,.590,.979,.410,138.5,5.66,1990-05-24
139,양의지15두C,132,513,442,70,144,27,0,20,231,93,5,4,39,24,3,64,7,2,6,.326,.405,.523,.928,.408,149.1,5.65,1987-06-05
140,심정수99두RF,132,544,480,79,161,35,1,31,291,110,1,4,53,8,4,77,17,0,3,.335,.408,.606,1.014,.431,158.7,5.64,1975-05-05
141,장성호99해LF,129,559,485,110,166,32,1,24,272,62,5,3,61,8,2,71,9,0,5,.342,.420,.561,.981,.425,152.0,5.63,1977-10-18
142,동봉철92삼CF,126,511,410,95,130,18,7,11,195,52,24,17,72,13,2,63,5,14,2,.317,.433,.476,.908,.406,145.5,5.63,1970-01-02
143,이만수90삼C,110,421,359,50,103,13,0,26,194,57,3,4,54,5,6,37,16,0,2,.287,.386,.540,.926,.419,157.7,5.63,1958-09-19
144,이범호04한3B,133,541,481,80,148,35,3,23,258,74,6,3,48,3,1,80,8,5,4,.308,.371,.536,.908,.401,140.7,5.61,1981-11-25
145,김동주03두DH,118,504,401,61,137,23,2,23,233,89,3,2,79,11,8,53,15,0,13,.342,.450,.581,1.031,.446,177.9,5.61,1976-02-03
146,마해영02삼DH,133,596,532,92,172,40,2,33,315,116,2,0,46,12,5,74,14,0,6,.323,.386,.592,.978,.418,161.3,5.61,1970-08-14
147,이병규97LCF,126,550,495,82,151,31,8,7,219,69,23,5,43,8,3,50,6,1,3,.305,.368,.442,.810,.366,130.5,5.60,1974-10-25
148,장성호03K1B,130,571,476,93,150,36,2,21,253,105,13,4,84,3,7,52,7,3,5,.315,.417,.532,.949,.415,154.2,5.58,1977-10-18
149,송지만02한RF,131,557,488,84,142,18,2,38,278,104,8,3,58,9,4,136,14,0,2,.291,.375,.570,.945,.405,152.0,5.57,1973-03-02
150,박종호00현2B,121,541,441,89,150,30,3,10,216,58,9,5,61,12,0,47,4,20,7,.340,.428,.490,.918,.398,139.0,5.56,1973-07-27
151,브룸바07현DH,126,547,438,75,135,13,0,29,235,87,3,2,100,4,12,70,17,0,5,.308,.437,.537,.974,.437,174.1,5.56,1974-04-21
152,정수근99두CF,129,589,505,100,164,28,8,2,214,55,57,13,70,4,1,56,12,5,5,.325,.408,.424,.831,.376,121.0,5.55,1977-01-20
153,이순철91해CF,115,513,434,83,120,21,3,17,198,50,56,18,55,14,1,66,3,6,4,.277,.373,.456,.829,.378,133.2,5.55,1961-04-18
154,황재균16롯3B,127,559,498,97,167,26,5,27,284,113,25,10,49,4,5,66,10,0,8,.335,.394,.570,.964,.417,137.3,5.55,1987-07-28
155,최형우14삼LF,113,493,430,92,153,33,0,31,279,100,4,2,50,7,1,62,11,0,6,.356,.426,.649,1.075,.458,160.6,5.55,1983-12-16
156,강정호13넥SS,126,532,450,67,131,21,1,22,220,96,15,8,68,6,3,109,18,2,6,.291,.387,.489,.876,.398,138.0,5.55,1987-04-05
157,이용규11KCF,111,503,421,84,140,16,2,3,169,33,30,6,63,9,2,33,5,7,3,.333,.427,.401,.829,.391,137.9,5.54,1985-08-26
158,이범호11K3B,101,405,318,63,96,21,0,17,168,77,2,0,75,7,3,56,8,0,5,.302,.440,.528,.968,.440,171.1,5.54,1981-11-25
159,이승엽01삼1B,127,574,463,101,128,31,2,39,280,95,4,2,96,12,11,130,6,1,2,.276,.412,.605,1.017,.434,155.1,5.52,1976-08-18
160,이대호08롯3B,122,527,435,73,131,23,0,18,208,94,0,1,62,18,4,56,9,0,12,.301,.400,.478,.879,.402,147.1,5.51,1982-06-21
161,박재홍05SCF,109,495,421,76,128,21,1,18,205,63,22,10,67,2,2,78,10,2,3,.304,.400,.487,.887,.400,147.4,5.51,1973-09-07
162,김동수98LC,118,471,408,67,116,28,2,20,208,66,2,3,44,9,2,71,8,4,6,.284,.362,.510,.872,.378,140.5,5.50,1968-10-27
163,정성훈12L3B,107,438,365,50,113,27,3,12,182,53,3,3,65,1,2,62,13,2,5,.310,.411,.499,.909,.416,164.8,5.50,1980-06-27
164,김태균16한DH,144,652,529,94,193,39,0,23,301,136,1,0,108,9,10,97,11,0,6,.365,.476,.569,1.045,.463,165.5,5.50,1982-05-29
165,이광은86MLF,107,467,408,59,124,21,3,15,196,60,20,8,48,5,5,53,3,0,6,.304,.379,.480,.859,.398,163.6,5.49,1955-06-28
166,박한이04삼CF,132,587,503,81,156,26,2,16,234,63,13,9,69,5,3,57,8,7,3,.310,.397,.465,.862,.390,133.9,5.49,1979-01-28
167,김동수93LC,115,427,372,47,102,16,3,16,172,56,7,0,41,6,3,40,11,3,5,.274,.351,.462,.814,.373,146.5,5.48,1968-10-27
168,이승엽12삼1B,126,556,488,84,150,28,2,21,245,85,6,0,59,4,4,101,10,1,4,.307,.384,.502,.886,.406,157.5,5.47,1976-08-18
169,신동주97삼LF,120,452,399,79,130,37,1,21,232,66,18,12,34,14,3,79,3,3,2,.326,.396,.581,.978,.428,169.7,5.46,1972-12-14
170,양준혁06삼DH,126,533,413,63,125,31,1,13,197,81,12,7,103,9,10,43,11,1,7,.303,.446,.477,.923,.421,172.7,5.45,1969-05-26
171,류중일90삼SS,120,503,425,70,132,22,5,6,182,45,23,8,50,10,0,55,6,15,2,.311,.394,.428,.823,.379,131.2,5.44,1963-04-28
172,김성한85해1B,105,455,400,66,133,29,1,22,230,75,8,5,42,3,2,37,6,4,6,.333,.395,.575,.970,.433,176.6,5.43,1958-05-18
173,전준우11롯CF,133,601,539,97,162,38,5,11,243,64,23,9,50,7,4,101,14,2,3,.301,.366,.451,.816,.375,126.6,5.43,1986-02-25
